State,Oranges ,Grapefruit,Lemons,Tangerines & mandarins 1,Total citrus fruit,Apples,Apricots,Avocados,Bananas,Blackberries,Blueberries,Boysenberries,Raspberries,Sweet cherries,Tart cherries,Cranberries,Dates,Figs,Grapes,Kiwifruit,Nectarines,Olives,Papayas,Peaches,Pears,Prunes & Plums,Strawberries,Total noncitrus fruit,(in-shell) Almonds,Hazelnuts,Macadamia,Pecans,Pistachios,Walnuts,Total tree nuts,Total fruit & tree nuts,Share of U.S.  fruit & tree nuts
 Alabama , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , 0.8 , - , - , 0.8 , 0.8 , 0.0 
 Arizona ,,, 40.0 ,, 40 , - , - , - , - , - , - , - , - , - , - , - , 10.9 , - , - , - , - , - , - , - , - , - , - , 10.9 , - , - , - , 14.0 , - , - , 14.0 , 64.9 , 0.2 
 Arkansas , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 California ," 1,768.0 ", 152.0 , 848.0 , 768.0 ," 3,536 ", 122.5 , 31.6 , 169.1 , - , - , 31.7 , - , 71.1 , 44.2 , - , - , 29.1 ,                             2," 7,130.0 ", 37.8 , 119.7 , 52.9 , - , 475.9 , 161.0 , 378.6 ," 1,288.8 "," 10,144.0 "," 1,839.9 ", - , - , 1.9 , 493.5 , 676.0 ," 3,011.3 "," 16,691.2 ", 62.1 
 Colorado , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 14.6 , - , - , - , 14.6 , - , - , - , - , - , - , - , 14.6 , 0.1 
 Connecticut , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Florida ," 2,027.3 ", 164.9 , - , 35.6 ," 2,228 ", - , - , 13.6 , - , - , 10.2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 122.5 , 146.3 , - , - , - , - , - , - , - ," 2,374.1 ", 8.8 
 Georgia , - , - , - , - , - , - , - , - , - , - , 26.7 , - , - , - , - , - , - , - ,, - , - , - , - , 23.4 , - , - , - , 50.1 , - , - , - , 35.0 , - , - , 35.0 , 85.1 , 0.3 
 Hawaii 3, - , - , - , - , - , - , - , 0.8 ,, - , - , - , - , - , - , - , - , - , - , - , - , - , 10.3 , - , - , - , - , 11.1 , - , - , 17.7 , - , - , - , 17.7 , 42.0 , 0.2 
 Idaho , - , - , - , - , - ,, - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , -  
 Illinois , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , -  
 Indiana , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Iowa , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Kansas , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Kentucky , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Louisiana , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3.0 , - , - , 3.0 , 3.0 , 0.0 
 Maine , - , - , - , - , - ,, - , - , - , - , 25.2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 25.2 , - , - , - , - , - , - , - , 25.2 , 0.1 
